"","decimalLatitude","decimalLongitude","eventDate","scientificName","taxonConceptID","recordID","data_resource"
"70",-33.883,151.216,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","decc8e2b-7ada-44f3-a836-3a58db447891","Australian Museum provider for OZCAM"
"71",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","dd9e88c6-ee5e-4803-bfae-b7764aed46d3","Australian Museum provider for OZCAM"
"72",-37.68,145.9,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","dd9e3778-0f7f-472d-9632-30496e0c1d97","Museums Victoria provider for OZCAM"
"73",-42.78,147.36,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","dc6d20a0-ba48-44cc-aacc-3d16514a0a22","Tasmanian Museum and Art Gallery provider for OZCAM"
"74",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","dc3f8c1b-d04b-4d2b-bb96-ea2620e33acd","Museums Victoria provider for OZCAM"
"75",-33.4833,150.1667,"1900-01-01","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","dbcc7ed6-1816-4b63-81e5-5b2e33eb4766","South Australian Museum Australia provider for OZCAM"
"76",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","dba5f84d-e74b-40e3-aeeb-55998453f8c3","Australian Museum provider for OZCAM"
"77",-33.816,151.2,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","da25ff85-854d-4733-819e-ada44ffcbd16","Australian Museum provider for OZCAM"
"78",-37.82,144.97,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","da1902f9-dcdf-4f07-8fc7-cd438c835292","Museums Victoria provider for OZCAM"
"79",-41,148,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d9726d20-52e0-42f6-8e95-53ff283bb728","Tasmanian Museum and Art Gallery provider for OZCAM"
"80",-33.866,151.266,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d951d01b-d399-4de7-a138-0c98131c8c12","Australian Museum provider for OZCAM"
"81",-41.1,146.81666,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d8fe5bf2-5b92-4fb8-8b83-503007bb16aa","Queen Victoria Museum Art Gallery provider for OZCAM"
"82",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d8ce9681-ce97-4344-98b7-bed2e836f9e3","Australian Museum provider for OZCAM"
"83",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d82f8e23-c64c-4554-b497-74635b8733a7","Queensland Museum provider for OZCAM"
"84",-42.88,147.32,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d8143881-cefe-4e9c-9124-d935f9de953a","Tasmanian Museum and Art Gallery provider for OZCAM"
"85",-37.73,144.95,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d7f92e98-9d50-4103-9928-51ff233d2ffb","Museums Victoria provider for OZCAM"
"86",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d729a9da-5b02-4745-994b-a3480003127b","Museums Victoria provider for OZCAM"
"87",-37.68,145.9,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d6dd38d9-2a64-4bbf-9a74-e4dcb60bfe56","Museums Victoria provider for OZCAM"
"88",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d5bea0d1-6f83-4489-a73a-6c79065070f8","Australian Museum provider for OZCAM"
"89",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d5226301-08ff-40af-84f7-1886e74c313d","Australian Museum provider for OZCAM"
"90",-42.78,147.36,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d4fb8c3f-5101-4bda-bbbc-2ec1297b79ea","Tasmanian Museum and Art Gallery provider for OZCAM"
"91",-43.2269,147.1077,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d46450f8-4fc0-428b-9cf9-619c09fe2047","Tasmanian Museum and Art Gallery provider for OZCAM"
"92",-34.468932464,150.896497578,"1956-01-01","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d42e4e90-2cbf-4799-829c-71c8bc99e6a3","OEH Atlas of NSW Wildlife"
"93",-33.866,151.266,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d3afa5d9-0c76-40a0-999f-b87df09594fa","Australian Museum provider for OZCAM"
"94",-38.18,143.52,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d39b6adb-46c2-4941-8198-fab878dca700","Museums Victoria provider for OZCAM"
"95",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d383bee1-8e08-4002-90f0-a225e68080c3","Australian Museum provider for OZCAM"
"96",-42.8319,146.2678,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d24a6cab-8c77-47b1-aaea-76973423dd2f","Tasmanian Museum and Art Gallery provider for OZCAM"
"97",-33.916,151.133,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d1450e64-08c7-4e5e-8a54-167097f1a74d","Australian Museum provider for OZCAM"
"98",-41.68,145.95,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","d0dadaba-54b9-456e-bce0-fa184ce6d2ee","Museums Victoria provider for OZCAM"
"99",-33.4833,150.1667,"1900-01-01","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","cf9bc630-b7d6-4bcf-8851-3274a252821c","South Australian Museum Australia provider for OZCAM"
"100",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ce937c7e-9ab6-402f-82a5-32548dbff6f9","Museums Victoria provider for OZCAM"
"101",-41.53,146.83,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ce8d747d-13e0-4f8d-ac17-6bdb92daa6a0","Tasmanian Museum and Art Gallery provider for OZCAM"
